         832495 function calls (832400 primitive calls) in 133.758 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      949    0.003    0.000    0.003    0.000 Perso.py:49(anim_ret)
     3638    0.002    0.000    0.003    0.000 ntpath.py:56(_get_bothseps)
     3640    0.002    0.000    0.003    0.000 ntpath.py:68(_get_colon)
     6087    0.003    0.000    0.003    0.000 {built-in method clock}
    10266    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      120    0.003    0.000    0.003    0.000 decoder.py:359(raw_decode)
        1    0.001    0.001    0.003    0.003 decoder.py:2(<module>)
      115    0.002    0.000    0.002    0.000 ennemis.py:52(pose_ennemi)
       12    0.000    0.000    0.002    0.000 sre_compile.py:472(_code)
       64    0.002    0.000    0.002    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.002    0.002 process.py:35(<module>)
      211    0.001    0.000    0.002    0.000 cp1252.py:22(decode)
        1    0.002    0.002    0.002    0.002 sprite.py:67(<module>)
      288    0.002    0.000    0.002    0.000 {built-in method EnumValue}
      107    0.000    0.000    0.002    0.000 TourClasse.py:51(bougetoursouris)
      233    0.001    0.000    0.002    0.000 glob.py:68(<listcomp>)
        1    0.000    0.000    0.002    0.002 process.py:311(__init__)
        2    0.002    0.001    0.002    0.001 {built-in method urandom}
        1    0.000    0.000    0.002    0.002 Perso.py:8(__init__)
      166    0.002    0.000    0.002    0.000 {built-in method _getdefaultlocale}
     1703    0.002    0.000    0.002    0.000 {built-in method atan}
       12    0.000    0.000    0.002    0.000 sre_parse.py:693(parse)
     3827    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     2075    0.002    0.000    0.002    0.000 {built-in method sin}
      699    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      138    0.000    0.000    0.002    0.000 random.py:165(randrange)
     1878    0.002    0.000    0.002    0.000 glob.py:93(_ishidden)
      211    0.002    0.000    0.002    0.000 {built-in method charmap_decode}
    19/12    0.000    0.000    0.002    0.000 sre_parse.py:309(_parse_sub)
       21    0.000    0.000    0.001    0.000 sre_compile.py:179(_compile_charset)
       18    0.001    0.000    0.001    0.000 classes.py:29(__init__)
    36/12    0.000    0.000    0.001    0.000 sre_compile.py:33(_compile)
     3975    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1947    0.001    0.000    0.001    0.000 ntpath.py:38(_get_empty)
    21/12    0.001    0.000    0.001    0.000 sre_parse.py:387(_parse)
       21    0.001    0.000    0.001    0.000 sre_compile.py:208(_optimize_charset)
        1    0.000    0.000    0.001    0.001 sysfont.py:221(<listcomp>)
      784    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      230    0.001    0.000    0.001    0.000 collections.py:130(move_to_end)
        3    0.000    0.000    0.001    0.000 fnmatch.py:38(_compile_pattern)
      138    0.001    0.000    0.001    0.000 random.py:216(_randbelow)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
6360/6341    0.001    0.000    0.001    0.000 {built-in method len}
      106    0.001    0.000    0.001    0.000 {method 'play' of 'Sound' objects}
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       12    0.000    0.000    0.001    0.000 sre_compile.py:363(_compile_info)
     6074    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.001    0.001 pickle.py:173(<listcomp>)
       90    0.000    0.000    0.001    0.000 re.py:153(match)
        1    0.000    0.000    0.001    0.001 invocation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 TourClasse.py:1(<module>)
        9    0.001    0.000    0.001    0.000 sre_compile.py:259(_mk_bitmap)
      195    0.000    0.000    0.001    0.000 sre_parse.py:184(__next)
      159    0.000    0.000    0.000    0.000 sre_parse.py:209(get)
      390    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
       12    0.000    0.000    0.000    0.000 {built-in method flip}
      817    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      376    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      226    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
    49/25    0.000    0.000    0.000    0.000 sre_parse.py:142(getwidth)
      277    0.000    0.000    0.000    0.000 sysfont.py:41(_addfont)
        1    0.000    0.000    0.000    0.000 functools.py:139(decorating_function)
        1    0.000    0.000    0.000    0.000 Stormtrays.py:247(<listcomp>)
      749    0.000    0.000    0.000    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
        1    0.000    0.000    0.000    0.000 collections.py:40(__init__)
        1    0.000    0.000    0.000    0.000 Perso.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:493(update)
      166    0.000    0.000    0.000    0.000 codecs.py:238(__init__)
       18    0.000    0.000    0.000    0.000 ntpath.py:299(splitext)
        1    0.000    0.000    0.000    0.000 {built-in method getcwd}
        1    0.000    0.000    0.000    0.000 abc.py:158(__instancecheck__)
      7/1    0.000    0.000    0.000    0.000 abc.py:174(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
      115    0.000    0.000    0.000    0.000 sre_parse.py:132(__getitem__)
        1    0.000    0.000    0.000    0.000 sprite.py:1213(GroupSingle)
        1    0.000    0.000    0.000    0.000 threading.py:384(_Event)
      240    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Stormtrays.py:252(<listcomp>)
      7/1    0.000    0.000    0.000    0.000 {built-in method issubclass}
      119    0.000    0.000    0.000    0.000 sre_parse.py:203(match)
        3    0.000    0.000    0.000    0.000 {built-in method OpenKey}
       18    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        2    0.000    0.000    0.000    0.000 ntpath.py:529(normpath)
        3    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       12    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ntpath.py:585(abspath)
        1    0.000    0.000    0.000    0.000 threading.py:954(__init__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:233(_class_escape)
        2    0.000    0.000    0.000    0.000 {built-in method dir}
        1    0.000    0.000    0.000    0.000 classes.py:106(videtab)
       13    0.000    0.000    0.000    0.000 re.py:230(escape)
        3    0.000    0.000    0.000    0.000 TourClasse.py:56(placetour)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
      138    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        3    0.000    0.000    0.000    0.000 collections.py:57(__setitem__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:356(_simple)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method compile}
        1    0.000    0.000    0.000    0.000 threading.py:627(__init__)
        1    0.000    0.000    0.000    0.000 ntpath.py:314(dirname)
       49    0.000    0.000    0.000    0.000 sre_parse.py:140(append)
       78    0.000    0.000    0.000    0.000 {built-in method min}
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:265(_escape)
        2    0.000    0.000    0.000    0.000 _abcoll.py:363(__contains__)
        3    0.000    0.000    0.000    0.000 __init__.py:48(__init__)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
       36    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method play}
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 pickle.py:781(_Unpickler)
        3    0.000    0.000    0.000    0.000 os.py:461(__getitem__)
        3    0.000    0.000    0.000    0.000 TourClasse.py:32(__init__)
        1    0.000    0.000    0.000    0.000 constantes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
       54    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       53    0.000    0.000    0.000    0.000 sre_parse.py:128(__len__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:681(fix_flags)
        1    0.000    0.000    0.000    0.000 {built-in method eval}
       24    0.000    0.000    0.000    0.000 sre_compile.py:469(isstring)
       12    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:381(Event)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:402(set)
        2    0.000    0.000    0.000    0.000 threading.py:172(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:388(__init__)
       22    0.000    0.000    0.000    0.000 {built-in method max}
       28    0.000    0.000    0.000    0.000 ntpath.py:62(_get_dot)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:80(<genexpr>)
        3    0.000    0.000    0.000    0.000 os.py:519(encodekey)
        4    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
        1    0.000    0.000    0.000    0.000 process.py:87(Process)
        1    0.000    0.000    0.000    0.000 {function seed at 0x024C0C00}
        2    0.000    0.000    0.000    0.000 threading.py:177(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:18(_floatconstants)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 functools.py:26(update_wrapper)
        1    0.000    0.000    0.000    0.000 pickle.py:177(_Pickler)
        3    0.000    0.000    0.000    0.000 compat.py:8(geterror)
        1    0.000    0.000    0.000    0.000 sysfont.py:487(create_aliases)
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:79(add)
        1    0.000    0.000    0.000    0.000 threading.py:615(Thread)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       21    0.000    0.000    0.000    0.000 {built-in method getattr}
       79    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        1    0.000    0.000    0.000    0.000 {built-in method QueryInfoKey}
        1    0.000    0.000    0.000    0.000 decoder.py:297(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
       42    0.000    0.000    0.000    0.000 {built-in method chr}
        1    0.000    0.000    0.000    0.000 weakref.py:45(__init__)
